food,Calorie,Fat,Carbohydrates,Protein,Water
fish fillet fried,211,11.2,15.4,13.3,48.7
rainbow trout raw,111,4.9,0,15.8,58.3
pout raw,278,3.2,0,58.6,286.4
rainbow smelt cooked,35,0.9,0,6.4,20.6
monkfish raw,22,0.4,0,4.1,23.6
trout raw,117,5.2,0,16.4,56.4
shark raw,37,1.3,0,5.9,20.8
burbot raw,104,0.9,0,22.4,91.9
dolphinfish cooked,173,1.4,0,37.7,113.2
crayfish cooked,25,0.4,0,5,22.9
dolphinfish raw,173,1.4,0,37.7,158.2
perch cooked,54,0.5,0,11.4,33.7
cusk raw,106,0.8,0,23.2,93.1
bluefin tuna raw,41,1.4,0,6.6,19.3
milkfish cooked,54,2.4,0,7.4,17.7
carp raw,277,12.2,0,38.9,166.4
sturgeon raw,30,1.1,0,4.6,21.7
orange roughy raw,22,0.2,0,4.6,21.4
catfish fried,199,11.6,7,15.7,51.2
cuttlefish raw,22,0.2,0.2,4.6,22.8
bass raw,90,2.9,0,14.9,59.8
flounder cooked,109,3,0,19.4,103
milkfish raw,42,1.9,0,5.8,20.1
eel raw,375,23.8,0,37.6,139.3
catfish raw,189,9.4,0,24.2,125.7
fish sticks,78,4.5,6.1,3.1,13.9
coho salmon raw,254,12.2,0,33.8,112
monkfish cooked,27,0.6,0,5.3,22.2
yellowtail cooked,546,19.6,0,86.6,196.6
yellowfin tuna cooked,37,0.2,0,8.2,19.5
ling cooked,168,1.2,0,36.8,111.6
eel cooked,67,4.2,0,6.7,16.8
sablefish raw,753,59.1,0,51.8,274.1
salmon nuggets,60,3.3,4,3.6,17.1
yellowtail raw,546,19.6,0,86.5,278.7
butterfish cooked,47,2.6,0,5.5,16.7
caviar,42,2.9,0.6,3.9,7.6
pollock raw,355,3.8,0,75,301.8
catfish cooked,206,10.3,0,26.4,106.7
whiting raw,83,1.2,0,16.8,73.8
pink salmon raw,404,14,0,65.2,240.2
yellowfin tuna raw,31,0.1,0,6.9,21
mackerel raw,230,15.6,0,20.8,71.2
turbot raw,388,12,0,65.5,314
cusk cooked,106,0.8,0,23.1,66.2
atlantic croaker raw,82,2.5,0,14,61.6
sucker cooked,148,3.7,0,26.6,91.7
spot raw,79,3.1,0,11.8,48.6
drum cooked,236,9.7,0,34.6,109.2
crayfish raw,3,0.048,0,0.6,3.4
tilefish cooked,441,14.1,0,73.5,210.7
bluefish cooked,186,6.4,0,30.1,73.3
grouper cooked,238,2.6,0,50.2,148.2
sheepshead raw,257,5.7,0,48.1,185.6
herring kippered,87,4.9,0,9.8,23.9
grouper raw,238,2.6,0,50.2,205.2
ocean perch cooked,48,0.9,0,9.3,37.1
ling raw,168,1.2,0,36.7,153.7
lingcod cooked,329,4.1,0,68.4,228.6
florida pompano raw,184,10.6,0,20.7,79.7
rockfish cooked,162,2.4,0,33.1,111.3
seatrout cooked,247,8.6,0,39.9,133.8
sockeye salmon raw,562,22.2,0,84.4,289.7
swordfish cooked,182,8.4,0,24.9,72.4
american shad raw,362,25.3,0,31.2,125.5
sardine canned in oil,310,17.1,0,36.7,88.8
anchovy canned in oil,8,0.4,0,1.2,2
salmon canned,520,20.3,0,79.1,261.1
sardines in tomato sauce canned,165,9.3,0.5,18.6,59.5
sockeye salmon canned,563,24.9,0,79.5,229.4
tuna canned,102,2.4,0,18.9,58.6
pink salmon canned,530,20.4,0,80.9,304.3
cod canned,328,2.7,0,71,235.9
eastern oyster canned,110,4,6.3,11.4,137.9
chum salmon canned,520,20.3,0,79.1,261.1
tuna canned in oil,331,14.4,0,47.2,114
wild pink salmon oceans,320,16,0,0,0
shrimp canned,128,1.7,0,26.1,97.1
alaska king crab raw,144,1,0,31.5,136.9
scallops fried,64,3.2,6.4,2.6,11.5
shrimp cooked,7,0.092,0.013,1.3,3.9
clams fried,19,1,1,1.3,5.8
alaska king crab cooked,130,2.1,0,25.9,103.9
scallops cooked,11,0.058,0.5,2.1,7
squid fried,140,6,6.2,14.4,51.6
oyster raw,41,1.2,2.5,4.7,41
abalone,89,0.6,5.1,14.5,63.4
queen crab raw,25,0.3,0,5.2,22.8
whelk cooked,78,0.2,4.4,13.5,9.1
oyster cooked,41,1.2,2.5,4.7,16
eastern oyster cooked,8,0.2,0.7,0.7,8
blue mussels cooked,344,9,14.8,47.6,122.3
octopus raw,23,0.3,0.6,4.2,22.7
spiny lobster cooked,233,3.2,5.1,43,108.8
blue mussels raw,129,3.4,5.5,17.9,120.9
queen crab cooked,98,1.3,0,20.2,63.8
dungeness crab cooked,140,1.6,1.2,28.3,93.1
dungeness crab raw,140,1.6,1.2,28.4,129.1
shrimp fried,52,3.2,4.8,1.3,7.2
shrimp raw,4,0.023,0.041,0.7,4.2
blue crab cooked,71,0.6,0,15.2,67.7
shrimp imitation,29,0.4,2.6,3.5,21.2
conch baked,165,1.5,2.2,33.4,88.1
squid raw,26,0.4,0.9,4.4,22.2
scallop raw,10,0.091,0.5,1.8,12.4
lobster raw,116,1.1,0,24.8,121.4
scallop imitation,28,0.1,3,3.6,20.9
blue crab raw,18,0.2,0.018,3.8,16.6
whelk raw,39,0.1,2.2,6.7,18.7
spiny lobster raw,234,3.2,5.1,43.1,154.8
clams canned,227,2.5,9.4,38.8,104.4
lobster cooked,134,1.3,0,28.5,117.2
eastern oyster fried,29,1.8,1.7,1.3,9.4
clams raw,195,2.2,8.1,33.3,179.3
octopus cooked,139,1.8,3.7,25.3,51.4
eastern oyster raw,8,0.2,0.8,0.7,12.1
oyster fried,61,3,6.7,2.1,11.1
sturgeon smoked,49,1.2,0,8.8,17.7
chinook salmon smoked,159,5.9,0,24.9,97.9
cisco smoked,50,3.4,0,4.6,19.8
haddock smoked,33,0.3,0,7.1,20.2
whitefish smoked,147,1.3,0,31.8,96.3
